name,slug,powerstats.intelligence,powerstats.strength,powerstats.speed,powerstats.durability,powerstats.power,powerstats.combat,appearance.height,appearance.weight,appearance.eyeColor,appearance.hairColor,appearance.gender,appearance.race,work.occupation,biography.fullName,biography.alterEgos,biography.firstAppearance,biography.aliases
Brainiac 5,137-brainiac-5,100,10,23,28,60,32,"[""5'7"",""170 cm""]","[""135 lb"",""61 kg""]",Green,Blond,Male,,-,Querl Dox,No alter egos found.,"Brainiac 5's primary invention is his personal force-shield generator. Brainiac 5 re-discovered the technical process behind original Brainiac's force-shield belt, which is capable of generating a virtually impervious field of protection. The belt must be","[""-""]"
Brundlefly,139-brundlefly,69,32,25,40,27,15,"[""6'4"",""193 cm""]","[""- lb"",""0 kg""]",-,-,Male,Mutant,Scientist,Seth Brundle,No alter egos found.,The Fly (1986),"[""The Fly""]"
Buffy,140-buffy,63,28,42,70,48,60,"[""5'2"",""157 cm""]","[""115 lb"",""52 kg""]",Green,Blond,Female,Human,Slayer ; (formerly) Waitress ; DoubleMeat Palace employee ; Sunnydale High Counselor,Buffy Anne Summers,No alter egos found.,Dark Horse Presents 1998 Annual,"[""Anne"",""The Chosen One"",""The Vampire Slayer"",""The Slayer"",""Buff"",""B"",""The Buffster"",""Belinda"",""Joan""]"
Bullseye,141-bullseye,50,11,25,70,20,70,"[""6'0"",""183 cm""]","[""200 lb"",""90 kg""]",blue,blond,Male,Human,"Assassin, professional criminal, former mercenary",Lester,No alter egos found.,"Daredevil #131 (March, 1976)","[""Benjamin Poindexter"",""Daredevil"",""Punisher"",""Bullseye"",""Hawkeye"",""pitcher""]"
Bumblebee,142-bumblebee,63,28,25,10,47,35,"[""5'7"",""170 cm""]","[""130 lb"",""59 kg""]",Brown,Black,Female,Human,-,Karen Beecher,No alter egos found.,Teen Titans #45,"[""-""]"
Bushido,144-bushido,38,10,8,10,19,70,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",-,-,Male,Human,-,Ryuko Orsono,No alter egos found.,Titans: Secret Files & Origins #2,"[""-""]"
Cable,145-cable,88,48,23,56,100,80,"[""6'8"",""203 cm""]","[""350 lb"",""158 kg""]",Blue,White,Male,Mutant,"(current) Adventurer, (former) freedom fighter, United States government agent, mercenary, combat instructor for X-Force",Nathan Summers,No alter egos found.,New Mutants #86 (as Cable),"[""Chosen One"",""Soldier X"",""Nathan Dayspring"",""Askani'son"",""Nathan Dayspring Summers"",""Nathan Winters"",""The Traveller"",""The Saviour""]"
Callisto,146-callisto,63,53,23,42,52,85,"[""5'9"",""175 cm""]","[""165 lb"",""74 kg""]",Blue,Black,Female,,-,Callisto,No alter egos found.,X-MEN (first series) #169,"[""-""]"
Cameron Hicks,147-cameron-hicks,50,10,23,28,51,70,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",-,-,Male,Alpha,-,,No alter egos found.,-,"[""-""]"
Cannonball,148-cannonball,50,28,67,99,94,56,"[""6'0"",""183 cm""]","[""181 lb"",""81 kg""]",Blue,Blond,Male,,"Adventurer, peacekeeper, former student, mercenary, miner",Samuel Zachery Guthrie,No alter egos found.,Marvel Graphic Novel #4 (1982),"[""Formerly Samson Guthry"",""Sam Guthrie"",""Jet-Ass""]"
Captain America,149-captain-america,69,19,38,55,60,100,"[""6'2"",""188 cm""]","[""240 lb"",""108 kg""]",blue,blond,Male,Human,"Adventurer, federal official, intelligence operative; former soldier, Hydra agent, liaison between S.H.I.E.L.D. and the Avengers, police officer, teacher, sparring partner.",Steve Rogers,No alter egos found.,Captain America Comics #1 (March 1941),"[""Nomad"",""The Captain""]"
Captain Atom,150-captain-atom,81,93,83,90,100,80,"[""6'4"",""193 cm""]","[""200 lb"",""90 kg""]",Blue,Silver,Male,Human / Radiation,Former Soldier,Nathaniel Adam,No alter egos found.,Captain Atom #1,"[""Monarch"",""Allen Adam"",""Cameron Scott""]"
Captain Britain,151-captain-britain,75,77,50,60,31,80,"[""6'6"",""198 cm""]","[""257 lb"",""116 kg""]",Blue,Blond,Male,Human,"Adventurer, formerly King of Otherworld, scientist",Brian Braddock,No alter egos found.,"Captain Britain #1 (October, 1976)","[""Britannic"",""Black Bishop"",""Jungle Man"",""King of Otherworld"",""Merlinson""]"
Captain Cold,152-captain-cold,50,10,17,20,28,20,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",Brown,Brown,Male,Human,Professional Criminal,Leonard Snart,No alter egos found.,"Flash Vol 4 #6 (April, 2012)","[""Citizen Cold"",""Kid Kold"",""Len Snart"",""Leonard Snart"",""Leonards Wynters"",""The Man Who Mastered Absolute Zero""]"
Captain Hindsight,154-captain-hindsight,25,10,83,30,10,20,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",-,Black,Male,Human,Former Superhero; News Reporter,Jack Brolin,No alter egos found.,"South Park S14 E11 ""Coon 2: Hindsight""","[""-""]"
Captain Marvel,156-captain-marvel,88,100,88,95,100,75,"[""6'4"",""193 cm""]","[""225 lb"",""101 kg""]",Blue,Black,Male,Human,-,Billy Batson,No alter egos found.,Whiz Comics no. 2 (1940),"[""The World's Mightiest Mortal"",""The Big Red Cheese"",""Captain Thunder"",""Shazam""]"
Captain Marvel,157-captain-marvel,84,88,71,95,100,90,"[""5'11"",""180 cm""]","[""165 lb"",""74 kg""]",Blue,Blond,Female,Human-Kree,"Former National Aeronautics and Space Administration security Chief, former magazine editor, former freelance writer, former military intelligence officer.",Carol Danvers,"Binary, Warbird",Ms. Marvel #1,"[""Ace"",""Binary"",""Lady Marvel"",""Warbird"",""others used during her espionage career""]"
Captain Marvel II,158-captain-marvel-ii,75,81,27,90,34,56,"[""5'9"",""175 cm""]","[""165 lb"",""74 kg""]",Blue,Black,Male,Human,Adventurer,Frederick Christopher Freeman,No alter egos found.,"Current incarnation: (As Freddy Freeman) The Power of Shazam #3 (May, 1995)","[""Captain Marvel Jr."",""CM3""]"
Captain Planet,160-captain-planet,50,88,75,80,100,60,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",Red,Green,Male,God / Eternal,-,,No alter egos found.,Captain Planet and the Planeteers (TV Series),"[""The Captain"",""CP"",""Planet""]"
Carnage,162-carnage,63,63,70,84,88,90,"[""6'1"",""185 cm""]","[""190 lb"",""86 kg""]",Green,Red,Male,Symbiote,-,Cletus Kasady,No alter egos found.,"Amazing Spider-Man #344 (February, 1991)","[""Mass Carnage"",""999th""]"
Catwoman,165-catwoman,69,11,33,28,27,85,"[""5'9"",""175 cm""]","[""135 lb"",""61 kg""]",Green,Black,Female,Human,Thief,Selina Kyle,No alter egos found.,Detective Comics #569,"[""The Cat"",""Irena Dubrovna"",""Elva Barr"",""Sadie Kelowski"",""Madame Moderne"",""Marguerite Tone""]"
Century,167-century,88,80,53,64,100,100,"[""6'7"",""201 cm""]","[""215 lb"",""97 kg""]",White,White,Male,Alien,"Tracker, adventurer",,No alter egos found.,"Force Works #1 (July, 1994)","[""-""]"
Chamber,169-chamber,50,10,20,80,57,64,"[""5'9"",""175 cm""]","[""140 lb"",""63 kg""]",Brown,Brown,Male,Mutant,Adventurer,Jonothon Evan Starsmore,No alter egos found.,"Generation X #1 (November, 1994)","[""Decibel"",""Jono"",""Jono Hex""]"
Chameleon,170-chameleon,88,10,12,28,28,28,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",-,-,Male,,-,Dmitri Anatoly Smerdyakov Kravinoff,No alter egos found.,Amazing Spider-Man #1,"[""Dr. Ashley Kafka"",""Dr. Turner"",""J. Jonah Jameson"",""Torpedo"",""Rick Jones"",""Dr. Henry Pym"",""Peter Parker"",""Captain George Stacy"",""Dr. Robert Bruce Banner"",""General""]"
Changeling,171-changeling,63,10,23,42,64,64,"[""5'11"",""180 cm""]","[""180 lb"",""81 kg""]",Brown,Black,Male,,"Former substitute teacher, adventurer, subversive",Kevin Sidney,No alter egos found.,"Uncanny X-Men #35 (August, 1967)","[""Professor X"",""Professor Charles Xavier""]"
Cheetah,172-cheetah,38,8,42,20,32,70,"[""5'4"",""163 cm""]","[""110 lb"",""50 kg""]",Green,Blond,Female,Human,-,Priscilla Rich,No alter egos found.,Wonder Woman Vol1 #6 (Fall 1943),"[""Kay Carlton"",""The Cheetah""]"
Cheetah III,174-cheetah-iii,88,100,88,80,78,95,"[""5'9"",""175 cm""]","[""120 lb"",""54 kg""]",Brown,Brown,Female,Human,"Archaeologist, Anthropologist",Barbara Minerva,No alter egos found.,Wonder Woman Vol2 #7 (Sept 1987),"[""Barbara Minerva"",""Bride of Urzkartaga"",""Priscilla Rich"",""Deborah Domaine"",""Sabrina Ballesteros""]"
Chuck Norris,176-chuck-norris,50,80,47,56,42,99,"[""5'10"",""178 cm""]","[""- lb"",""0 kg""]",-,-,Male,,-,Carlos Ray Norris,No alter egos found.,-,"[""Chuck""]"
Citizen Steel,177-citizen-steel,50,95,33,100,23,60,"[""6'0"",""183 cm""]","[""378 lb"",""170 kg""]",Green,Red,Male,Human,"Adventurer, former Professional Football Player",Nathan Heywood,No alter egos found.,"Justice Society of America Vol 3 #2 (March, 2007)","[""Buckeye"",""Uncle Nate"",""Uncle Nathan""]"
Claire Bennet,178-claire-bennet,38,9,12,100,90,28,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",Blue,Blond,Female,,"High school student, cheerleader",Claire Bennet,No alter egos found.,Heroes S01E01,"[""Vivian Lewis"",""Claire Butler""]"
Cloak,180-cloak,63,10,47,64,100,56,"[""7'5"",""226 cm""]","[""155 lb"",""70 kg""]",brown,black,Male,,Vigilante,Tyrone Johnson,No alter egos found.,Spectacular Spiderman #64,"[""-""]"
Clock King,181-clock-king,75,10,17,10,7,40,"[""5'10"",""178 cm""]","[""173 lb"",""78 kg""]",Blue,Black,Male,Human,-,William Tockman,No alter egos found.,"World's Finest #111 (August, 1960)","[""Tempus Fugit""]"
Colossus,185-colossus,63,83,33,100,45,80,"[""7'5"",""226 cm""]","[""500 lb"",""225 kg""]",Silver,Black,Male,Mutant,"(current) Adventurer, student, (former) Artist",Piotr Nikolaievitch Rasputin,No alter egos found.,"Giant-Size X-Men #1 (May, 1975)","[""Pete"",""Peter Nicholas"",""The Proletarian"",""Little Brother""]"
Copycat,186-copycat,56,10,21,25,54,60,"[""6'0"",""183 cm""]","[""148 lb"",""67 kg""]",Red,White,Female,Mutant,-,Vanessa Carlysle,No alter egos found.,"New Mutants #98 (February, 1991)","[""Nurse Veronica"",""Patricia Muggins"",""Titania"",""Garrison Kane"",""Christina Valentino"",""Domino"",""Cheryl Marks"",""Debbie"",""Marguerite"",""Amy""]"
Cottonmouth,188-cottonmouth,50,10,8,10,27,25,"[""6'0"",""183 cm""]","[""220 lb"",""99 kg""]",Brown,Black,Male,Human,Professional criminal,Burchell Clemens,No alter egos found.,"Captain America #310 (October, 1985)","[""Quincy McIver""]"
Crystal,191-crystal,63,16,12,14,61,56,"[""5'6"",""168 cm""]","[""110 lb"",""50 kg""]",Green,Red,Female,Inhuman,"Mother, adventuress",Crystallia Amaquelin,No alter egos found.,Fantastic Four #45 (1965),"[""Crys"",""Exquisite Elemental""]"
Cyborg,194-cyborg,75,53,42,85,71,64,"[""6'6"",""198 cm""]","[""385 lb"",""173 kg""]",Brown,Black,Male,Cyborg,"Adventurer, Teen Titan",Victor Stone,No alter egos found.,"DC Comics Presents #26 (October, 1980)","[""Cyberion Technis"",""Omegadrome"",""Planet Cyberion""]"
Cyborg Superman,195-cyborg-superman,75,93,92,100,100,80,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",Blue,Black,Male,Cyborg,-,Henry Henshaw,No alter egos found.,"Adventures of Superman #466 (May, 1990)","[""Grandmaster of the Manhunters"",""Herald of the Anti-Monitor"",""Alpha-Prime of the Alpha Lanterns""]"
Cyclops,196-cyclops,75,10,23,42,76,80,"[""6'3"",""191 cm""]","[""195 lb"",""88 kg""]",Brown,Brown,Male,Mutant,"Leader of mutant race, adventurer, headmaster, former student, radio announcer",Scott Summers,No alter egos found.,"X-Men #1 (September, 1963)","[""Scotty"",""Cyke"",""Slim"",""Fearless Leader"",""One-Eye"",""Erik the Red"",""Slym Dayspring"",""Mutate 007"",""Apocalypse""]"
Dagger,198-dagger,63,10,35,42,52,70,"[""-"",""0 kg""]","[""116 lb"",""52 kg""]",Blue,Blond,Female,,Vigilante,Tandy Bowen,No alter egos found.,Spectacular Spiderman #64,"[""Lady Light""]"
Daphne Powell,200-daphne-powell,38,10,8,10,56,10,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",-,-,Female,,Student,Daphne Powell,No alter egos found.,No Ordinary Family S01E01 (2010),"[""-""]"
Daredevil,201-daredevil,75,13,25,35,61,100,"[""6'0"",""183 cm""]","[""200 lb"",""90 kg""]",Blue,Red,Male,Human,"Adventurer, vigilante, Attorney at Law",Matt Murdock,No alter egos found.,"Daredevil #1 (April, 1964)","[""Matt"",""Jack Batlin"",""Kingpin of Crime"",""Laurent LeVasseur"",""Michael \""Mike\"" Murdock"",""Scarlet Swashbuckler"",""Nameless One"",""Kingpin of Hell's Kitchen"",""The Man Without Fear"",""The Guardian Devil"",""DD"",""Red"",""Hornhead"",""Cooper Peyton"",""Captain Universe""]"
Darkhawk,202-darkhawk,50,32,33,70,74,64,"[""6'1"",""185 cm""]","[""180 lb"",""81 kg""]",Brown,Brown,Male,Human,Retired Superhero,Christopher Powell,No alter egos found.,"Darkhawk #1 (March, 1991)","[""Bucket-Head"",""Edge-Man"",""Powell""]"
Darkman,203-darkman,75,14,23,85,12,28,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",-,-,Male,,Scientist,Peyton Westlake,No alter egos found.,"Darkman (August 24, 1990)","[""-""]"
Darkseid,204-darkseid,88,100,83,100,100,95,"[""8'9"",""267 cm""]","[""1815 lb"",""817 kg""]",Red,No Hair,Male,New God,Dictator of Apokolips,Uxas,No alter egos found.,Superman's Pal Jimmy Olsen #134 (November 1970),"[""Dark God""]"
Darkstar,206-darkstar,38,8,35,42,79,64,"[""5'6"",""168 cm""]","[""125 lb"",""56 kg""]",Brown,Blond,Female,Mutant,Occupation unknown,Laynia Petrovna,No alter egos found.,"Champions #7 (August, 1976)","[""Tyomni Zvesda""]"
Darth Maul,207-darth-maul,56,48,50,30,100,100,"[""5'7"",""170 cm""]","[""- lb"",""0 kg""]",Yellow / Red,-,Male,Dathomirian Zabrak,-,,No alter egos found.,Star Wars Episode I: The Phantom Menace (1999),"[""Sith"",""Master Of The Double-Bladed Lightsaber""]"
Darth Vader,208-darth-vader,69,48,33,35,100,100,"[""6'6"",""198 cm""]","[""300 lb"",""135 kg""]",Yellow,No Hair,Male,Cyborg,"Sith Lord, Supreme Commander of the Imperial Fleet",Anakin Skywalker,No alter egos found.,Star Wars: Episode IV - A New Hope (1977),"[""Lord Vader""]"
Dash,209-dash,25,12,92,60,20,30,"[""4'0"",""122 cm""]","[""60 lb"",""27 kg""]",Blue,Blond,Male,Human,-,Dashiell Robert Parr,No alter egos found.,"The Incredibles (Movies, 2004)","[""The Fastest Kid on Earth"",""The Dash""]"
Data,210-data,100,32,21,40,56,50,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",Yellow,Brown,Male,Android,Lieutenant commander,Data,No alter egos found.,-,"[""B-4""]"
Dazzler,211-dazzler,63,10,33,60,100,55,"[""5'8"",""173 cm""]","[""115 lb"",""52 kg""]",Blue,Blond,Female,Mutant,"Adventurer, singer, former actress, model, revolutionary",Alison Blaire,No alter egos found.,X-Men #130 (1980),"[""Ali"",""The Disco Dazzler"",""Songbird"",""Dazz"",""Kimberly Schau"",""Ally""]"
Deadman,212-deadman,50,10,33,100,100,42,"[""6'0"",""183 cm""]","[""201 lb"",""90 kg""]",Blue,Black,Male,Human,"Wandering Spirit, Former Circus Aerialist",Boston Brand,No alter egos found.,"Strange Adventures #205 (October, 1967)","[""-""]"
Deadpool,213-deadpool,69,32,50,100,100,100,"[""6'2"",""188 cm""]","[""210 lb"",""95 kg""]",Brown,No Hair,Male,Mutant,"Mercenary; former enforcer, government operative, sumo wrestler, soldier, assassin, anti-hero, others",Wade Wilson,"Evil Deadpool, Venompool","New Mutants #98 (February, 1991)","[""Wade Wilson"",""Jack"",""Chiyonosake (\""the Wolf of the Rice Wine\"")"",""Rhodes"",""Corpus"",""Lopez"",""Hobgoblin"",""Thom Cruz"",""Peter Parker""]"
Deadshot,214-deadshot,50,10,23,28,55,80,"[""6'1"",""185 cm""]","[""202 lb"",""91 kg""]",Brown,Brown,Male,Human,-,Floyd Lawton,No alter egos found.,"Batman #59 (June, 1950)","[""Man Who Never Misses"",""Worlds Finest Assassin"",""Orlando Furioso""]"
Deathlok,215-deathlok,69,32,30,70,40,60,"[""6'4"",""193 cm""]","[""395 lb"",""178 kg""]",Brown,Grey,Male,Cyborg,-,Luther Manning,No alter egos found.,"Astonishing Tales #25 (August, 1974)","[""Demolisher""]"
Deathstroke,216-deathstroke,75,30,35,100,47,90,"[""6'4"",""193 cm""]","[""225 lb"",""101 kg""]",Blue,White,Male,Human,"Mercenary; Former Soldier, Big-Game Hunter",Slade Joseph Wilson,No alter egos found.,"New Teen Titans #2 (December, 1980)","[""Slade Wilson"",""Deathstroke the Terminator"",""Batman""]"
Demogoblin,217-demogoblin,50,48,42,35,67,60,"[""6'1"",""185 cm""]","[""210 lb"",""95 kg""]",Red,No Hair,Male,Demon,Demonic Redeemer,,No alter egos found.,"Web of Spider-Man #86 (March, 1992)","[""Jason Macendale Jr""]"
Destroyer,218-destroyer,50,95,58,98,85,70,"[""6'2"",""188 cm""]","[""850 lb"",""383 kg""]",-,-,Male,,-,,No alter egos found.,Journey into Mystery #118 (1965),"[""-""]"
Diamondback,219-diamondback,44,16,23,28,45,60,"[""6'4"",""193 cm""]","[""200 lb"",""90 kg""]",Brown,Black,Male,Human,Criminal,Willis Stryker,No alter egos found.,"Luke Cage, Hero for Hire#1 (1972)","[""-""]"
DL Hawkins,220-dl-hawkins,50,12,12,56,48,56,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",-,-,Male,,"Construction worker, Firefighter",Daniel Lawrence Hawkins,No alter egos found.,Heroes S01E05 - Hiros,"[""-""]"
Doc Samson,221-doc-samson,75,80,33,80,36,70,"[""6'6"",""198 cm""]","[""380 lb"",""171 kg""]",Blue,Green,Male,Human / Radiation,"Psychiatrist, teacher, adventurer, former special consultant to Gamma Base",Leonard Samson,No alter egos found.,"Incredible Hulk #141 (July, 1971)","[""-""]"
Doctor Doom,222-doctor-doom,100,32,20,100,100,84,"[""6'7"",""201 cm""]","[""415 lb"",""187 kg""]",Brown,Brown,Male,Human,Monarch,Victor von Doom,No alter egos found.,Fantastic Four #5 (July 1962),"[""The Master"",""Invincible Man""]"
Doctor Fate,224-doctor-fate,81,16,25,80,100,50,"[""6'2"",""188 cm""]","[""197 lb"",""89 kg""]",Blue,Blond,Male,Human,-,Kent Nelson,No alter egos found.,"More Fun Comics #55 (May, 1940)","[""Nabu""]"
Doctor Octopus,225-doctor-octopus,94,48,33,40,53,65,"[""5'9"",""175 cm""]","[""245 lb"",""110 kg""]",Brown,Brown,Male,Human,"Former atomic-research consultant, criminal mastermind",Otto Octavius,No alter egos found.,Amazing Spider-Man #3 (July 1963),"[""Doctor Octopus"",""Doc Ock"",""The Master Planner"",""The Master Programmer"",""Peter Benjamin Parker"",""Superior Spider-Man"",""Venom"",""Superior Venom""]"
Doctor Strange,226-doctor-strange,100,10,12,84,100,60,"[""6'2"",""188 cm""]","[""180 lb"",""81 kg""]",Grey,Black,Male,Human,"Sorcerer Supreme, retired neurosurgeon",Stephen Strange,No alter egos found.,"Strange Tales #110 (July, 1963)","[""Sorcerer Supreme"",""Master of the Mystic Arts"",""Stephen Sanders"",""Captain Universe"",""Vincent Stevens""]"
Domino,227-domino,63,10,27,28,49,74,"[""5'8"",""173 cm""]","[""120 lb"",""54 kg""]",Blue,Black,Female,Human,-,Neena Thurman,No alter egos found.,"X-Force #8 (March, 1992)","[""Dom"",""Samantha Wu"",""Tamara Winter"",""Elena Vladescu"",""Jessica Marie Costello"",""Luisa Mendoza"",""Beatrice"",""Christina Elizabeth Alioso"",""Priscilla Sutherland"",""Hope Eldridge""]"
Donatello,228-donatello,88,14,46,60,58,75,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",Green,No Hair,Male,Mutant,-,,No alter egos found.,Teenage Mutant Ninja Turtles #1,"[""Don"",""Donnie""]"
Doomsday,230-doomsday,75,100,67,100,100,90,"[""8'0"",""244 cm""]","[""915 lb"",""412 kg""]",Red,White,Male,Alien,Destroyer,Doomsday,No alter egos found.,Superman: The Man of Steel #17 (Nov 1992),"[""The Ultimate Lifeform""]"
Doppelganger,231-doppelganger,8,63,60,95,69,84,"[""6'5"",""196 cm""]","[""230 lb"",""104 kg""]",White,No Hair,Male,,-,,No alter egos found.,Infinity War #1 (1992),"[""The Spider-Man Doppelganger"",""Spider-Doppelganger"",""Mindless One""]"
Dormammu,232-dormammu,88,95,83,100,100,80,"[""6'1"",""185 cm""]","[""- lb"",""0 kg""]",Yellow,No Hair,Male,,"Despot, conqueror",Dormammu,No alter egos found.,Strange Tales #126 (1964),"[""The Dread One"",""Eater of Souls"",""Lord of Chaos"",""Lord of Darkness"",""the Great Enigma"",""Flyx""]"
Dr Manhattan,233-dr-manhattan,88,100,42,100,100,42,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",White,No Hair,Male,Human / Cosmic,Scientist,Jonathan Osterman,No alter egos found.,"Watchmen #1 (September, 1986)","[""Jon Osterman"",""Doctor Manhattan""]"
Drax the Destroyer,234-drax-the-destroyer,56,80,25,85,46,65,"[""6'4"",""193 cm""]","[""680 lb"",""306 kg""]",Red,No Hair,Male,Human / Altered,-,Arthur Sampson Douglas,No alter egos found.,"Iron Man #55 (February, 1973)","[""-""]"
Ego,235-ego,88,80,83,99,71,28,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",-,-,-,,Inapplicable,Ego,No alter egos found.,THOR #132,"[""The Living Planet""]"
Elastigirl,236-elastigirl,63,32,33,95,52,70,"[""5'6"",""168 cm""]","[""125 lb"",""56 kg""]",Brown,Brown,Female,Human,-,Helen Parr,No alter egos found.,"The Incredibles (Movies, 2004)","[""Mrs Incredible""]"
Electro,237-electro,69,10,50,56,67,64,"[""5'11"",""180 cm""]","[""165 lb"",""74 kg""]",Blue,Auburn,Male,Human,Professional criminal,Maxwell Dillon,No alter egos found.,Amazing Spider-Man #9 (1964),"[""-""]"
Elektra,238-elektra,63,11,30,28,59,100,"[""5'9"",""175 cm""]","[""130 lb"",""59 kg""]",Blue,Black,Female,Human,"Assassin, adventurer, mercenary, former student, dancer",Elektra Natchios,No alter egos found.,Daredevil #168,"[""Erynys (evil self)""]"
Elle Bishop,239-elle-bishop,50,8,12,42,63,42,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",Blue,Blond,Female,,Agent of the Company,,No alter egos found.,Heroes S02E05 - Fight or Flight,"[""Cindy""]"
Elongated Man,240-elongated-man,75,10,33,90,44,40,"[""6'1"",""185 cm""]","[""178 lb"",""80 kg""]",Blue,Red,Male,,Detective,Ralph Dibny,No alter egos found.,Flash #112 (1960),"[""Alvin Burgson; Molder""]"
Emma Frost,241-emma-frost,75,63,35,90,100,42,"[""5'10'"",""178 cm""]","[""144 lb"",""65 kg""]",Blue,Blond,Female,,-,Emma Frost,No alter egos found.,UNCANNY X-MEN #132,"[""Storm"",""White Queen""]"
Enchantress,242-enchantress,63,14,25,60,100,40,"[""5'6"",""168 cm""]","[""126 lb"",""57 kg""]",Blue,Blond,Female,Human,Artist; Magician,June Moone,No alter egos found.,Strange Adventures #187,"[""Anita Soulfeeda"",""Soulsinger""]"
Ethan Hunt,245-ethan-hunt,75,11,29,30,26,95,"[""5'6"",""168 cm""]","[""- lb"",""0 kg""]",Brown,Brown,Male,Human,"IMF Agent, Training Officer (former), Field Agent, Field Team Leader",Ethan Hunt,No alter egos found.,-,"[""-""]"
Etrigan,246-etrigan,50,85,17,100,100,50,"[""6'4"",""193 cm""]","[""452 lb"",""203 kg""]",Red,No Hair,Male,Demon,-,Jason Blood,No alter egos found.,"Demon #1 (September, 1972)","[""Demon""]"
Evil Deadpool,247-evil-deadpool,69,32,50,100,100,100,"[""6'2"",""188 cm""]","[""210 lb"",""95 kg""]",White,Red,Male,Mutant,"Mercenary, Assasin",Wade Wilson,"Deadpool, Venompool","Deadpool Vol 2 #44 (December, 2011)","[""Dreadpool""]"
Evilhawk,248-evilhawk,50,32,33,70,85,64,"[""6'3"",""191 cm""]","[""235 lb"",""106 kg""]",Red,Black,Male,Alien,Crimelord,Dargin Bokk,No alter egos found.,"Darkhawk #20 (October, 1992)","[""-""]"
Exodus,249-exodus,63,81,28,28,100,70,"[""6'0"",""183 cm""]","[""195 lb"",""88 kg""]",Blue,Black,Male,Mutant,"Terrorist, would-be conqueror, Former leader of the Acolytes, Crusader",Bennet du Paris,No alter egos found.,"X-Factor #92 (July, 1993)","[""Paris Bennet""]"
Falcon,251-falcon,38,13,50,28,22,64,"[""6'2"",""188 cm""]","[""240 lb"",""108 kg""]",Brown,Black,Male,Human,"Crimefighter, (former) freelance artist",Sam Wilson,No alter egos found.,"Captain America #117 (September, 1969)","[""Sam Wilson"",""(formerly) Captain America"",""Blackbird"",""Blackwing"",""Brother Superhero""]"
Fallen One II,252-fallen-one-ii,88,85,83,100,100,56,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",Black,Blue,Male,,-,,No alter egos found.,-,"[""-""]"
Faora,253-faora,88,95,75,100,98,90,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",-,-,Female,Kryptonian,Serial killer,Faora Hu-Ul,No alter egos found.,"Action Comics #471 (May, 1977)","[""Katie""]"
Feral,254-feral,38,28,45,28,27,70,"[""5'9"",""175 cm""]","[""110 lb"",""50 kg""]",Yellow (without irises),Orange / White,-,,"Formerly Adventurer, Terrorist",Maria Callasantos,No alter egos found.,NEW MUTANTS #99,"[""-""]"
Fin Fang Foom,256-fin-fang-foom,50,81,23,100,75,70,"[""32'0"",""975 cm""]","[""40000 lb"",""18 tons""]",Red,No Hair,Male,Kakarantharaian,-,,No alter egos found.,-,"[""He Whose Limbs Shatter Mountains and Whose Back Scrapes the Sun (translation)""]"
Firebird,257-firebird,38,8,40,14,100,42,"[""5'5'"",""165 cm""]","[""125 lb"",""56 kg""]",Brown,Black,Female,,"Social worker, adventurer",Bonita Juarez,No alter egos found.,INCREDIBLE HULK Vol. 2 #265,"[""Pajaro Del Fuego"",""La Espirita"",""Firemaiden""]"
Firelord,258-firelord,38,63,75,90,52,28,"[""6'4'"",""193 cm""]","[""220 lb"",""99 kg""]",White,Yellow,-,,"Former starship captain, former herald of Galactus",Pyreus Kril,No alter egos found.,THOR Vol. 1 #225,"[""Nova Centurion""]"
Firestar,259-firestar,50,8,54,55,71,32,"[""5'8"",""173 cm""]","[""125 lb"",""56 kg""]",Green,Red,Female,Mutant,Student,Angelica Jones,No alter egos found.,"Uncanny X-Men #193 (May, 1985)","[""Angel"",""Anj"",""Lady Comet""]"
Firestorm,260-firestorm,50,53,58,56,100,42,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",Brown,Black,Male,,University student; former food server at Bryson's Family Treat; former mascot at Ho-Ho Charlie's Chicken Shack; former intern at S.T.A.R. Labs,Jason Rusch,No alter egos found.,Firestorm (Volume 3) #1,"[""The Nuclear Man""]"
Firestorm,261-firestorm,38,80,58,80,100,40,"[""6'2"",""188 cm""]","[""202 lb"",""91 kg""]",Blue,Auburn,Male,Human,Adventurer; former employee of Bun 'n Run,Ronald Raymond,No alter egos found.,"Firestorm #1 (March, 1978)","[""Ronnie"",""Roy"",""Ronald Rockwell"",""Flamehead""]"
